,BusinessNum,agentName,applicantName,applicationDate,applicationNumber,classificationCode,registrationNumber,title
13674,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2009-04-23,5.62E+12,"['02', '022', '16']",4.00E+12,MESA
13675,2448104572,['조철현'],['주식회사 신세계'],1998-11-26,4.12E+12,['36'],4.10E+12,에브리 데이
13676,2448104572,['조철현'],['주식회사 신세계'],2010-01-25,5.12E+12,['40'],4.10E+12,에브리데이
13677,2448104572,['조철현'],['주식회사 신세계'],2010-01-25,5.12E+12,['39'],4.10E+12,에브리데이
13678,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2008-03-07,4.02E+12,['29'],4.01E+12,SMART EATING E MART
13679,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2018-12-21,4.02E+12,['35'],4.02E+12,신세계 S봇
13680,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2008-07-07,4.02E+12,['08'],4.01E+12,m·m Dogs E·MART
13681,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2007-06-07,4.02E+12,['29'],4.01E+12,E MART fresh
13682,2448104572,['유미특허법인'],['주식회사 신세계'],2005-11-04,4.02E+12,['21'],4.01E+12,자연주의 in the LIVING
13683,2448104572,['조철현'],['주식회사 신세계'],2005-12-14,4.02E+12,['21'],4.01E+12,E.BASICS
13684,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2008-11-03,4.02E+12,['03'],4.01E+12,Kids E·MART
13685,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2008-11-03,4.02E+12,['02'],4.01E+12,Kids E·MART
13686,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2017-03-30,4.02E+12,['18'],4.01E+12,Dellalana
13687,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2017-05-23,4.02E+12,['18'],4.01E+12,ILAIL
13688,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2007-05-07,4.02E+12,['32'],4.01E+12,BESTSELECT E.MART
13689,2448104572,,['주식회사 신세계'],1971-11-22,4.02E+12,['004'],4.00E+12,신세계 SHINSEGYE
13690,2448104572,,['주식회사 신세계'],1972-05-10,4.02E+12,['012'],4.00E+12,신세계 SHINSEGYE
13691,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2009-06-19,4.12E+12,['36'],4.10E+12,E·MART everyday
13692,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2009-08-17,4.02E+12,['33'],4.01E+12,Best E·MART
13693,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2009-08-17,4.02E+12,['16'],4.01E+12,Best E·MART
13694,2448104572,"['고승호', '조철현']",['주식회사 신세계'],1994-12-06,5.02E+12,['046'],4.00E+12,신세계 SHINSEGYE
13695,2448104572,['팬코리아특허법인'],['주식회사 신세계'],2009-07-01,4.02E+12,['29'],4.01E+12,E·MART 주전부리
